Ethnocultural_Key,Ethnoculture
ETH1112,Hawaiian
ETH1113,Maori
ETH1114,Samoan
ETH1115,"Polynesian, n.o.s."
ETH1116,"Pacific Islands origins, n.i.e."
ETH1117,Total Ethnic Origin
ETH1118,North American Aboriginal origins
ETH1119,First Nations (North American Indian)
ETH1120,Inuit
ETH1121,Métis
ETH1122,Other North American origins
ETH1123,Acadian
ETH1124,American
ETH1125,Canadian
ETH1126,New Brunswicker
ETH1127,Newfoundlander
ETH1128,Nova Scotian
ETH1129,Ontarian
ETH1130,Québécois
ETH1131,"Other North American origins, n.i.e."
ETH1132,European origins
ETH1133,British Isles origins
ETH1134,Channel Islander
ETH1135,Cornish
ETH1136,English
ETH1137,Irish
ETH1138,Manx
ETH1139,Scottish
ETH1140,Welsh
ETH1141,"British Isles origins, n.i.e."
ETH1142,French origins
ETH1143,Alsatian
ETH1144,Breton
ETH1145,Corsican
ETH1146,French
ETH1147,Western European origins (except French origins)
ETH1148,Austrian
ETH1149,Bavarian
ETH1150,Belgian
