Date_Key,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,IsWeekend
343,2000-09-10,2000,9,10,3,36,6,Sunday,1
344,2000-09-11,2000,9,11,3,37,0,Monday,0
345,2000-09-12,2000,9,12,3,37,1,Tuesday,0
346,2000-09-13,2000,9,13,3,37,2,Wednesday,0
347,2000-09-14,2000,9,14,3,37,3,Thursday,0
348,2000-09-15,2000,9,15,3,37,4,Friday,0
349,2000-09-16,2000,9,16,3,37,5,Saturday,1
350,2000-09-17,2000,9,17,3,37,6,Sunday,1
351,2000-09-18,2000,9,18,3,38,0,Monday,0
352,2000-09-19,2000,9,19,3,38,1,Tuesday,0
353,2000-09-20,2000,9,20,3,38,2,Wednesday,0
354,2000-09-21,2000,9,21,3,38,3,Thursday,0
355,2000-09-22,2000,9,22,3,38,4,Friday,0
356,2000-09-23,2000,9,23,3,38,5,Saturday,1
357,2000-09-24,2000,9,24,3,38,6,Sunday,1
358,2000-09-25,2000,9,25,3,39,0,Monday,0
359,2000-09-26,2000,9,26,3,39,1,Tuesday,0
360,2000-09-27,2000,9,27,3,39,2,Wednesday,0
361,2000-09-28,2000,9,28,3,39,3,Thursday,0
362,2000-09-29,2000,9,29,3,39,4,Friday,0
363,2000-09-30,2000,9,30,3,39,5,Saturday,1
364,2000-10-01,2000,10,1,4,39,6,Sunday,1
365,2000-10-02,2000,10,2,4,40,0,Monday,0
366,2000-10-03,2000,10,3,4,40,1,Tuesday,0
367,2000-10-04,2000,10,4,4,40,2,Wednesday,0
368,2000-10-05,2000,10,5,4,40,3,Thursday,0
369,2000-10-06,2000,10,6,4,40,4,Friday,0
370,2000-10-07,2000,10,7,4,40,5,Saturday,1
371,2000-10-08,2000,10,8,4,40,6,Sunday,1
372,2000-10-09,2000,10,9,4,41,0,Monday,0
373,2000-10-10,2000,10,10,4,41,1,Tuesday,0
374,2000-10-11,2000,10,11,4,41,2,Wednesday,0
375,2000-10-12,2000,10,12,4,41,3,Thursday,0
376,2000-10-13,2000,10,13,4,41,4,Friday,0
377,2000-10-14,2000,10,14,4,41,5,Saturday,1
378,2000-10-15,2000,10,15,4,41,6,Sunday,1
379,2000-10-16,2000,10,16,4,42,0,Monday,0
380,2000-10-17,2000,10,17,4,42,1,Tuesday,0
381,2000-10-18,2000,10,18,4,42,2,Wednesday,0
382,2000-10-19,2000,10,19,4,42,3,Thursday,0
383,2000-10-20,2000,10,20,4,42,4,Friday,0
384,2000-10-21,2000,10,21,4,42,5,Saturday,1
385,2000-10-22,2000,10,22,4,42,6,Sunday,1
386,2000-10-23,2000,10,23,4,43,0,Monday,0
387,2000-10-24,2000,10,24,4,43,1,Tuesday,0
388,2000-10-25,2000,10,25,4,43,2,Wednesday,0
389,2000-10-26,2000,10,26,4,43,3,Thursday,0
390,2000-10-27,2000,10,27,4,43,4,Friday,0
391,2000-10-28,2000,10,28,4,43,5,Saturday,1
392,2000-10-29,2000,10,29,4,43,6,Sunday,1
393,2000-10-30,2000,10,30,4,44,0,Monday,0
394,2000-10-31,2000,10,31,4,44,1,Tuesday,0
395,2000-11-01,2000,11,1,4,44,2,Wednesday,0
396,2000-11-02,2000,11,2,4,44,3,Thursday,0
397,2000-11-03,2000,11,3,4,44,4,Friday,0
398,2000-11-04,2000,11,4,4,44,5,Saturday,1
399,2000-11-05,2000,11,5,4,44,6,Sunday,1
400,2000-11-06,2000,11,6,4,45,0,Monday,0
401,2000-11-07,2000,11,7,4,45,1,Tuesday,0
402,2000-11-08,2000,11,8,4,45,2,Wednesday,0
403,2000-11-09,2000,11,9,4,45,3,Thursday,0
404,2000-11-10,2000,11,10,4,45,4,Friday,0
405,2000-11-11,2000,11,11,4,45,5,Saturday,1
406,2000-11-12,2000,11,12,4,45,6,Sunday,1
407,2000-11-13,2000,11,13,4,46,0,Monday,0
408,2000-11-14,2000,11,14,4,46,1,Tuesday,0
409,2000-11-15,2000,11,15,4,46,2,Wednesday,0
410,2000-11-16,2000,11,16,4,46,3,Thursday,0
411,2000-11-17,2000,11,17,4,46,4,Friday,0
412,2000-11-18,2000,11,18,4,46,5,Saturday,1
413,2000-11-19,2000,11,19,4,46,6,Sunday,1
414,2000-11-20,2000,11,20,4,47,0,Monday,0
415,2000-11-21,2000,11,21,4,47,1,Tuesday,0
416,2000-11-22,2000,11,22,4,47,2,Wednesday,0
417,2000-11-23,2000,11,23,4,47,3,Thursday,0
418,2000-11-24,2000,11,24,4,47,4,Friday,0
419,2000-11-25,2000,11,25,4,47,5,Saturday,1
420,2000-11-26,2000,11,26,4,47,6,Sunday,1
421,2000-11-27,2000,11,27,4,48,0,Monday,0
422,2000-11-28,2000,11,28,4,48,1,Tuesday,0
423,2000-11-29,2000,11,29,4,48,2,Wednesday,0
424,2000-11-30,2000,11,30,4,48,3,Thursday,0
425,2000-12-01,2000,12,1,4,48,4,Friday,0
426,2000-12-02,2000,12,2,4,48,5,Saturday,1
427,2000-12-03,2000,12,3,4,48,6,Sunday,1
428,2000-12-04,2000,12,4,4,49,0,Monday,0
