Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
23 131635 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,801,LAKE SHORE,BLVD,E,M4M,2689033,S1443,2023-04-06,2023-05-29,,Inspection,"Interior alterations on ground level to include multi purpose gym, yoga, golf, pilates, spinning and group exercise rooms. - Mayfair Club",400000
23 134819 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,175,ELIZABETH,ST, ,M5G,10906827,S1145,2023-04-17,2023-06-01,,Inspection,Proposal for interior alterations to base building shell retail units (#L1-15 & a portion of #L1-16) to be converted into a new premises used for excercise for building occupants - 'SickKids Wellness Centre'.  This new tenant will be located on the ground floor level (Level 1) of this non-residential building.  [SickKids Patient Support Centre Building - Hospital for Sick Children],425000
23 138416 BLD,Building Additions/Alterations,Recreational,Interior Alterations,50,ST PHILLIPS,RD, ,M9P,1033758,W0135,2023-04-26,2023-05-04,,Permit Issued,Interior renovation to staff room,35000
23 141237 BLD,Building Additions/Alterations,Club,Interior Alterations,1668,ISLINGTON,AVE, ,M9A,8417078,W0228,2023-05-03,2023-08-30,,Permit Issued,propose to construct an interior alteration a new fitness gym in unused space,1000000
23 141360 BLD,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2023-05-04,2023-06-16,,Permit Issued,"Phase 2 - Rogers centre lower Bowl Renovation Project, Phase 2. This application is for the demolition scope of work only.",4500000
23 142287 BLD,Building Additions/Alterations,Recreational,Interior Alterations,750,SPADINA,AVE, ,M5S,8418224,S1134,2023-05-05,2023-05-12,,Permit Issued,"Renovation of existing group washrooms, modification of existing family washroom to universal washroom",250000
23 143995 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,112,ELIZABETH,ST, ,M5G,14191001,S1025,2023-05-10,2023-05-23,,Inspection,"1-INTERIOR RENO TO NAIL SALON, 2-HVAC PLAN, 3-PLUMBING-ADD 13 FIXTURES",70000
23 146987 BLD,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2023-05-17,2023-08-02,,Inspection,"Roger Centre Lower Bowl Renovation Project, Phase 2. Propose to enable baseball",96000000
23 149365 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,124,CARTWRIGHT,AVE, ,M6A,8293091,N0822,2023-05-23,2023-09-05,,Inspection,"Proposed interior alteration for for Performing Arts studio that includes Music, Theatre, Dance, Dance Training.",450000
23 160749 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,5110,DUNDAS,ST,W,M9A,10759476,W0321,2023-06-14,2023-07-18,,Inspection,Interior renovation to lower level for fitness studio - F45 Training,250000
