Street_Num,Street_Name,Street_Type,Street_Direction
130,ADELAIDE,ST,W
9,ORRELL,AVE, 
8,PRICE,ST, 
3401,DUFFERIN,ST, 
497,RICHMOND,ST,W
264,WILLOW,AVE, 
5,RAYMORE,DR, 
26,HAREWOOD,AVE, 
69,LYNN WILLIAMS,ST, 
34,RICHMOND PARK,BLVD, 
84,TWENTY FOURTH,ST, 
84,TWENTY FOURTH,ST, 
27-29,YORKVILLE,AVE, 
59,BLUENOSE,CRES, 
321,SCARBOROUGH GOLF CLUB,RD, 
386,YONGE,ST, 
388,YONGE,ST, 
180,QUEENS PLATE,DR, 
14,ST MATTHEWS,RD, 
65,TREEVIEW,DR, 
120,ADELAIDE,ST,W
2555,ST CLAIR,AVE,W
10,BURKEBROOK,PL, 
148,DELHI,AVE, 
3362,YONGE,ST, 
105,ARJAY,CRES, 
181,GEARY,AVE, 
560,KING,ST,W
816,SHEPPARD,AVE,W
101,EVERDEN,RD, 
4700,KEELE,ST, 
3401,DUFFERIN,ST, 
68,MONTROSE,AVE, 
1062,GERRARD,ST,E
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
900,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
483,EGLINTON,AVE,W
12,SCARBORO,CRES, 
337,KINGSDALE,AVE, 
32,BROOKLAWN,AVE, 
478,RICHMOND,ST,W
25,SEMINOLE,AVE, 
52,WALDER,AVE, 
3875-3931,DON MILLS,RD, 
171,DOUGLAS,DR, 
1,DUNDAS,ST,W
4286,LAWRENCE,AVE,E
4286,LAWRENCE,AVE,E
4288,LAWRENCE,AVE,E
3441-3595,LAWRENCE,AVE,E
1684,DANFORTH,AVE, 
13,WARWOOD,RD, 
2755,JANE,ST, 
120,ADELAIDE,ST,W
31,FALLINGBROOK,DR, 
545,GLENCAIRN,AVE, 
23,CASTLETON,AVE, 
15,TAMPA,TER, 
1831,FINCH,AVE,W
20,NEVILLE PARK,BLVD, 
1265,MILITARY,TRL, 
15,PROVOST,DR, 
720,BATHURST,ST, 
224,KING,ST,W
52,STRATH,AVE, 
6,MCBAIN,AVE, 
21,LOWER LINKS,RD, 
82,RIVERDALE,DR, 
1315,THE QUEENSWAY, , 
51,NORDIN,AVE, 
143,KING,ST,E
189,MCINTOSH,ST, 
172,ALFRED,AVE, 
4800-4810,SHEPPARD,AVE,E
32,GRANDVIEW,AVE, 
26,JAY,ST, 
165,NORTH QUEEN,ST, 
237,DANFORTH,AVE, 
72,ESTHER SHINER,BLVD, 
719,COLLEGE,ST, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
185,OASIS,BLVD, 
95,KING,ST,E
1,DUNDAS,ST,W
207,WILLIAM,ST, 
497,KING,ST,E
63,CLIFF,ST, 
199,ST GERMAIN,AVE, 
296,LEE,AVE, 
800,LAWRENCE,AVE,W
44,WOODVILLE,AVE, 
25,HUMBERVALE,BLVD, 
352,QUEEN,ST,W
141,BURNETT,AVE, 
57,STUART,AVE, 
504,BLOOR,ST,W
1400,LAWRENCE,AVE,W
200,BAY,ST, 
176,DANFORTH,RD, 
2,DACRE,CRES, 
145,KING,ST,W
2922,EGLINTON,AVE,E
439,MARTIN GROVE,RD, 
250,UNIVERSITY,AVE, 
33,FARNHAM,AVE, 
54,RAVENSCREST,DR, 
73,FURNIVAL,RD, 
73,FURNIVAL,RD, 
64,MONTRESSOR,DR, 
527,BLOOR,ST,W
39,WORTHINGTON,CRES, 
600,DIXON,RD, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
68,CANTERBURY,PL, 
1137,GLENGROVE,AVE, 
172,HILLHURST,BLVD, 
625,RODING,ST, 
12,THORNDALE,AVE, 
19,WOODBINE DOWNS,BLVD, 
317,HOLMES,AVE, 
319,HOLMES,AVE, 
3401,DUFFERIN,ST, 
10-36,YORK MILLS,RD, 
23,MACHOCKIE,RD, 
35,DEE,AVE, 
38,ELM,ST, 
66,DORKING,CRES, 
50,BLOOMINGTON,CRES, 
53,DOUGLAS,CRES, 
2590,WESTON,RD, 
1350-1400,CASTLEFIELD,AVE, 
347,SORAUREN,AVE, 
101,RICHMOND,ST,E
1421,YONGE,ST, 
18,DUNBLAINE,AVE, 
225,THE EAST MALL, , 
219,JOHNSTON,AVE, 
2199,MIDLAND,AVE, 
37,GLENAYR,RD, 
3035,WESTON,RD, 
360,DELORAINE,AVE, 
63,CLAREMORE,AVE, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
280,SCARBOROUGH GOLF CLUB,RD, 
409,GLENHOLME,AVE, 
51,BEECHGROVE,DR, 
24,NOBLE,ST, 
77,BLOOR,ST,W
1118,QUEEN,ST,W
473,EUCLID,AVE, 
938,WILSON,AVE, 
2150,BLOOR,ST,W
34,RICHMOND PARK,BLVD, 
2,ST CLAIR,AVE,W
19,METHUEN,AVE, 
3018,YONGE,ST, 
2437,FINCH,AVE,W
1415,KENNEDY,RD, 
20,PRINCE ARTHUR,AVE, 
88,ST GEORGE,ST, 
5365,YONGE,ST, 
337,QUEEN,ST,W
40,ST CLAIR,AVE,W
318,QUEEN,ST,W
50,CHINE,DR, 
4 B,BRACONDALE HILL,RD, 
4:00 AM,BRACONDALE HILL,RD, 
36,PARK LAWN,RD, 
36,PARK LAWN,RD, 
288,PLEASANT,AVE, 
2225,QUEEN,ST,E
145,KING,ST,W
500,REXDALE,BLVD, 
555,BURNHAMTHORPE,RD, 
5,ALLAN PARK,RD, 
177,JAMESON,AVE, 
2199,MIDLAND,AVE, 
204,BLOOR,ST,W
29,OLD YONGE,ST, 
808,YORK MILLS,RD, 
521,PARLIAMENT,ST, 
2335,DUFFERIN,ST, 
300,RANEE,AVE, 
166,NEWTON,DR, 
441,ORIOLE,PKWY, 
23,HARROW,DR, 
106,RUSSETT,AVE, 
475,FRONT,ST,E
1,FULHAM,ST, 
4,BURNCREST,DR, 
10,COLONIAL,AVE, 
475,FRONT,ST,E
500,REXDALE,BLVD, 
62,RODDA,BLVD, 
29,SILBURY,DR, 
11,DONALDA,CRES, 
109,PITFIELD,RD, 
215,CARLINGVIEW,DR, 
586,DELORAINE,AVE, 
125,BEVDALE,RD, 
15,KILLDEER,CRES, 
108,VICTORIA PARK,AVE, 
8,WELLESLEY,ST,E
6,RENNIE,TER, 
437,RONCESVALLES,AVE, 
3401,DUFFERIN,ST, 
134,LAUREL,AVE, 
15,HIGHVALE,RD, 
1918 A,QUEEN,ST,E
3401,DUFFERIN,ST, 
59,BENTWORTH,AVE, 
220,PARK LAWN,RD, 
5150,YONGE,ST, 
2584,YONGE,ST, 
519,KING,ST,W
11,ROSLIN,AVE, 
11:00 AM,ROSLIN,AVE, 
15,ROSLIN,AVE, 
15,ROSLIN,AVE, 
17,ROSLIN,AVE, 
17,ROSLIN,AVE, 
342,FAIRLAWN,AVE, 
1,DUNNING,CRES, 
39,CAMERON,AVE, 
9,CLIFFCREST,DR, 
6,ELM,AVE, 
417,OSSINGTON,AVE, 
1,GERANIUM,CRT, 
1000,WILLOWDALE,AVE, 
100,NORTH,DR, 
250 A,OSLER,ST, 
15,LICHEN,PL, 
82,WARDEN,AVE, 
59,WESTBOURNE,AVE, 
233,ELMWOOD,AVE, 
526,ARLINGTON,AVE, 
2150,LAWRENCE,AVE,E
14,WILFRID,AVE, 
398,PRINCESS,AVE, 
342,SUTHERLAND,DR, 
4242,KINGSTON,RD, 
3940,KEELE,ST, 
980,QUEEN,ST,E
42,BALFOUR,AVE, 
2621,LAKE SHORE,BLVD,W
1054,LILLIAN,ST, 
1970,ST CLAIR,AVE,W
1,DOUGLAS,DR, 
92,PRINCESS,AVE, 
311,BROCK,AVE, 
311,BROCK,AVE, 
311,BROCK,AVE, 
311,BROCK,AVE, 
311,BROCK,AVE, 
311,BROCK,AVE, 
225,SCARBORO,CRES, 
127,EDDYSTONE,AVE, 
47,ARAGON,AVE, 
47,ARAGON,AVE, 
48,DOUGLAS,CRES, 
21,DEMPSEY,CRES, 
1960,EGLINTON,AVE,E
70,OTTER,CRES, 
1415,KENNEDY,RD, 
195,ALBERTUS,AVE, 
250 A,OSLER,ST, 
1044,GERRARD,ST,E
170,HOWLAND,AVE, 
105,PINE GLEN,RD, 
84,HEATHCOTE,AVE, 
241,WESTLAKE,AVE, 
100,CONSILIUM,PL, 
88,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
90,SHEPPARD,AVE,E
238,ST LEONARDS,AVE, 
20,HEMFORD,CRES, 
3,CLIFFCREST,DR, 
886,QUEEN,ST,W
1530,ALBION,RD, 
2201,FINCH,AVE,W
38,MENIN,RD, 
150,AYLESWORTH,AVE, 
108,GALBRAITH,AVE, 
18,DENEWOOD,CRES, 
88,ALTON,AVE, 
2,HARLOW,CRES, 
27,ARLSTAN,DR, 
3364,BRIMLEY,RD, 
34,EDGEVALLEY,DR, 
30,BURNHAMTHORPE PARK,BLVD, 
159,CEDARVALE,AVE, 
1130,BATHURST,ST, 
1166,BAY,ST, 
1028,COXWELL,AVE, 
83,FISHLEIGH,DR, 
18,COBALT,ST, 
376,HORNER,AVE, 
303,LAKE PROMENADE, , 
160,VANDERHOOF,AVE, 
350,JOICEY,BLVD, 
299,ROEHAMPTON,AVE, 
510,EGLINTON,AVE,W
50,FIRWOOD,CRES, 
88,HAVENDALE,RD, 
622,COLLEGE,ST, 
33,EDGEMORE,DR, 
95,DANFORTH,AVE, 
69,BLYTH HILL,RD, 
106,KINGSDALE,AVE, 
11,MISTY,CRES, 
1530,ALBION,RD, 
6,DRUID,CRT, 
34,BROME,RD, 
80,ESTHER LORRIE,DR, 
26,NEILSON,DR, 
9,OAK HAMPTON,BLVD, 
1,FORDHAM,PL, 
50,HOMESTEAD,RD, 
27,EARL,RD, 
1,KING,ST,W
11,WRENSON,RD, 
830,LAWRENCE,AVE,W
15,CHELFORD,RD, 
1051,ELLESMERE,RD, 
1051,ELLESMERE,RD, 
9,WESTCHESTER,RD, 
1,YORKDALE,RD, 
100,BROADVIEW,AVE, 
46,MILFORD,AVE, 
33,BLOOR,ST,E
64,WOODLAWN,AVE,W
1051,ELLESMERE,RD, 
1051,ELLESMERE,RD, 
1051,ELLESMERE,RD, 
1051,ELLESMERE,RD, 
1051,ELLESMERE,RD, 
1051,ELLESMERE,RD, 
1051,ELLESMERE,RD, 
627,DAVENPORT,RD, 
14,LLOYDMINSTER,CRES, 
48,WARWOOD,RD, 
39,CLYDE,AVE, 
321,SCARBOROUGH GOLF CLUB,RD, 
617,COLDSTREAM,AVE, 
99,BIDEWELL,AVE, 
416,ELM,RD, 
435,YONGE,ST, 
117,UPPER CANADA,DR, 
117,MOSSBANK,DR, 
10,MANOR HAVEN,RD, 
8,CHATTERTON,BLVD, 
244-250,MARLEE,AVE, 
100,KING,ST,W
49,SHAVER,AVE,S
40,SCOTT,ST, 
43,FISHLEIGH,DR, 
212,HOLLYWOOD,AVE, 
