Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
08 119035 BLD,New Building,Mixed Use/Res w Non Res,New Building,373,KING,ST,W,M5V,13991614,S1033,2008-03-13,2010-03-16,,Inspection,BIN 2194 Proposal to construct a new 36 sty condo with 3 partial sty's of retail and 5 below grade parking levels.   281 residential units.  373-375 King St WPLEASE NOTE THAT NEW DRAWINGS SUBMITTED DEC 22 2009 - UNITS INCREASED 281- 305.  NUMBER OF STOREYS NOT CHANGED. NEW PARKING SPACES 142 PROVIDED.,60000000
08 119824 BLD,New Building,Apartment Building,New Building,1135,ROYAL YORK,RD, ,   ,20111946,W0230,2008-03-17,2009-12-10,,Inspection,New 14-storey (197units) Condominium Apartment Building with 2 levels of underground parking garage.,38000000
08 142390 BLD,New Houses,SFD - Detached,New Building,197,INGLEWOOD,DR, ,M4T,824936,S1122,2008-04-02,2008-05-21,,Inspection,Permit to construct new SFD detacehd house - 2 storey.  ,750000
08 142868 BLD,New Building,Apartment Building,New Building,1,OAKBURN,CRES, ,M2N,546746,N1828,2008-04-02,2010-06-08,,Inspection,Superstructure Permit - Proposed 21 storey condominum tower - Block 13 (Building A),42000000
08 142871 BLD,New Building,Apartment Building,New Building,1,OAKBURN,CRES, ,M2N,546746,N1828,2008-04-02,2010-06-08,,Inspection,Superstructure Permit - Proposed 21 storey condominum tower - Block 12 (Building B),42000000
08 143311 BLD,New Houses,SFD - Detached,New Building,76,YORKVIEW,DR, ,M2R,579352,N1824,2008-04-03,2008-04-24,,Inspection,Two storey dwelling.,550000
08 143320 BLD,New Houses,SFD - Detached,New Building,41,YORKVIEW,DR, ,M2N,7731454,N1824,2008-04-03,2008-04-24,,Inspection,Two storey dwelling.,550000
08 145367 BLD,New Building,Apartment Building,New Building,15,REAN,DR, ,M2K,20055811,N1729,2008-04-10,2009-06-05,,Inspection,4-storey residential condominium ,4860000
08 146195 BLD,New Building,Apartment Building,New Building,19,REAN,DR, ,M2K,20055824,N1729,2008-04-11,2009-04-15,,Inspection,10-storey residential condominium (retirement home),29600000
08 146252 BLD,New Houses,SFD - Detached,New Building,54,CALDOW,RD, ,M5N,779131,N0833,2008-04-11,2008-05-26,,Inspection,3-storey dwelling,620586
08 146547 BLD,New Building,Apartment Building,New Building,23,REAN,DR, ,M2K,20055822,N1729,2008-04-14,2009-05-01,,Inspection,9-storey residential condominium,15100000
08 147481 BLD,New Building,Apartment Building,New Building,1070,SHEPPARD,AVE,W,   ,20230199,N0623,2008-04-15,2008-12-24,,Inspection,"16 storey residential building (Building ""B"") with 268 dwelling units and a shared three level underground parking garage with Building ""A""",31520000
