Employment,Ward_ID,Population,Year
"Occupations in education, law and social, community and government services",Ward 18,6970,2021
"Occupations in art, culture, recreation and sport",Ward 18,2710,2021
Sales and service occupations,Ward 18,13970,2021
"Trades, transport and equipment operators and related occupations",Ward 18,5325,2021
"Natural resources, agriculture and related production occupations",Ward 18,215,2021
Occupations in manufacturing and utilities,Ward 18,1535,2021
All occupations,Ward 19,56835,2021
Management occupations,Ward 19,1410,2021
"Business, finance and administration occupations",Ward 19,12585,2021
Natural and applied sciences and related occupations,Ward 19,5610,2021
Health occupations,Ward 19,3420,2021
"Occupations in education, law and social, community and government services",Ward 19,9050,2021
"Occupations in art, culture, recreation and sport",Ward 19,4905,2021
Sales and service occupations,Ward 19,12520,2021
"Trades, transport and equipment operators and related occupations",Ward 19,5725,2021
"Natural resources, agriculture and related production occupations",Ward 19,335,2021
Occupations in manufacturing and utilities,Ward 19,1285,2021
All occupations,Ward 20,52380,2021
Management occupations,Ward 20,575,2021
"Business, finance and administration occupations",Ward 20,10400,2021
Natural and applied sciences and related occupations,Ward 20,4705,2021
Health occupations,Ward 20,3960,2021
"Occupations in education, law and social, community and government services",Ward 20,6025,2021
"Occupations in art, culture, recreation and sport",Ward 20,2065,2021
Sales and service occupations,Ward 20,14295,2021
"Trades, transport and equipment operators and related occupations",Ward 20,7825,2021
"Natural resources, agriculture and related production occupations",Ward 20,380,2021
Occupations in manufacturing and utilities,Ward 20,2155,2021
All occupations,Ward 21,53490,2021
Management occupations,Ward 21,195,2021
"Business, finance and administration occupations",Ward 21,9655,2021
Natural and applied sciences and related occupations,Ward 21,5240,2021
Health occupations,Ward 21,4335,2021
"Occupations in education, law and social, community and government services",Ward 21,4715,2021
"Occupations in art, culture, recreation and sport",Ward 21,1205,2021
Sales and service occupations,Ward 21,16015,2021
"Trades, transport and equipment operators and related occupations",Ward 21,8405,2021
"Natural resources, agriculture and related production occupations",Ward 21,380,2021
Occupations in manufacturing and utilities,Ward 21,3350,2021
All occupations,Ward 22,47030,2021
Management occupations,Ward 22,260,2021
"Business, finance and administration occupations",Ward 22,9185,2021
Natural and applied sciences and related occupations,Ward 22,5685,2021
Health occupations,Ward 22,3440,2021
"Occupations in education, law and social, community and government services",Ward 22,4170,2021
"Occupations in art, culture, recreation and sport",Ward 22,1405,2021
Sales and service occupations,Ward 22,13170,2021
"Trades, transport and equipment operators and related occupations",Ward 22,6160,2021
